descriptionofmapunits_id,mapunit,label,name,fullname,age,description,hierarchykey,paragraphstyle,areafillrgb,areafillpatterndescription,descriptionsourceid,generallithologyterm,generallithologyconfidence
HPV.DescriptionOfMapUnits.43,QTa,QTa,Late Pliocene to early Pleistocene fan gravel,,,"Coarse gravelly deposits that erosionally overlie basin-fill sediments and form the upper parts of high, very rounded ridges. QTa deposits are composed of very poorly sorted angular to sub angular sand, pebbles, cobbles, and boulders arranged in alternating fine to coarse beds common in alluvial fan deposits. High standing rounded ridges are composed of carbonate-cemented fanglomerate cap. Exposures of QTa deposits are generally poor, but may locally be up to 10 meters thick and are commonly the highest standing deposits in the proximal piedmont. These deposits are very well rounded, deeply incised, and exhibit a redder color than underlying basin fill deposits.",0002.0009,Standard,"225;225;200",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.44,Yp,Yp,Pioneer Shale (Mesoproterozoic),,,"Thin-bedded to laminated (less commonly medium-bedded) shale, mudstone, and subordinate siltstone.  Colors are highly variable, including red, purple, black, and white.  Includes an outcrop of metamorphosed Pioneer Shale northwest of Wildhorse Mountain near the east edge of the map area.",0005.0014,Standard,"185;132;204",,14067B26-1ACE-4BE0-A390-FEF5B709C274,,
HPV.DescriptionOfMapUnits.45,Ygl,Ygl,Muscovite leucogranite (Mesoproterozoic),,Mesoproterozoic,"Fine- to medium-grained leucogranite containing 2-10% very-fine-grained muscovite.  Heterogeneously foliated and recrystallized, with non-foliated zones locally ranging in texture to coarse-grained or medium-grained porphyritic.  K-feldspar in such zones is commonly in the 5-10 mm size range, rarely up to 25 x 5 mm.  Muscovite is very fine-grained even where feldspar is coarse-grained.  The rock locally contains traces to a few percent biotite, also very fine-grained. In eastern exposures along Redrock Creek this unit contains as much as 10% biotite.
In thin section, a specimen of this unit from near Paige Creek is leucomonzogranite containing 25-30% K-feldspar, 35-40% plagioclase, ~30% quartz, and 5% muscovite.  The rock is fine-grained with medium-grained K-feldspar (orthoclase) phenocrysts up to 5 mm, some of which display Carlsbad twinning.
Two samples of this unit were dated at 1440 +/- 13 Ma and 1441+/- 18 Ma (one-sigma; U-Pb isotopic analysis by M. Pecha and G. Gehrels, University of Arizona; sample 3-11-10-4 collected by J. Spencer, sample BJJ-2800 collected by B. Johnson),",0006.0010.0004,Standard,"219;139;120",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.47,TXgd,TXgd,Equigranular hornblende-biotite granodiorite (Tertiary to Proterozoic),,,"Equigranular hornblende-biotite granodiorite, medium grained, with ~3-5%, <2mm biotite, and 5-8%, <3mm hornblende.  This unit forms a sheet-like, subhorizontal fault sliver along the San Pedro detachment fault south of Eagle Peak.",0006.0005,Standard,"198;149;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.48,none,none,Mesozoic sedimentary units,,,,0004,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.49,none,none,Other units,,,,0001,Heading,"255;255;255",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.50,Tgh,Tgh,Granodiorite of Happy Valley (upper Oligocene),,,"Medium grained, equigranular biotite granodiorite (Drewes, 1974).  Local border phase consists of fine grain, two-mica granite (all phenocrysts <2mm, with ~4-6%, <2mm biotite, 0-2%, <2mm muscovite, and locally, <<1% garnet, <3mm).  Border phase may include locally abundant dikes with highly variable muscovite content.  Two samples of this rock unit yielded K-Ar biotite dates of 26.9 +/- 0.9 Ma and 28.0 +/- 1.1 Ma (Marvin et al., 1973).

Marvin, R.F., Stern, T.W., Creasey, S.C., and Mehnert, M.H., 1973, Radiometric ages of igneous rocks from Pima, Santa Cruz, and Cochise Counties, southeastern Arizona:  U.S. Geological Survey Bulletin 1379, 27 p.",0006.0001,Standard,"255;089;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.51,Ps,Ps,Sherrer Formation (Permian),,,"Fine to very fine grain, pale gray quartzite.",0005.0003,Standard,"185;132;204",,6CC8CA49-E0C1-45FA-BB40-DA91CBDD8B53,,
HPV.DescriptionOfMapUnits.52,Kv,Kv,Basalt in Bisbee Group sandstone (Cretaceous),,,"An approximately 3-m-thick, locally vesicular lava flow.  No flow breccia was seen, and it is not entirely  certain this is not a shallow, slightly vesiculated, hypabyssal intrusion.",0004.0001,Standard,"232;255;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.53,Xp,Xp,Pinal Schist (Paleoproterozoic),,,"Fine-grained quartz-feldspar-muscovite schist, commonly with fine magnetite, and fine-grained quartzite. Includes slightly to moderately micaceous quartzose metasandstone and schist intruded by locally abundant pegmatites, leucogranite dikes or sills, and quartz veins.

In the Driscoll Mountain area, metasandstone units range from a few cm to 20 m thick.  They consist mainly of resistant, fine-grained, quartzofeldspathic psammite and semipelitic schist, along with some micaceous quartzite and pelitic schist.  These rocks are composed of quartz, feldspar, and muscovite in various proportions.  Some intervals contain chlorite or biotite (in part replaced by chlorite) as well.  The resistant rocks of this assemblage typically form layers a few cm thick, with thin partings of pelitic quartz-muscovite schist.  Thick intervals of psammite and semipelite contain interlayers of pelitic schist (or locally phyllite) several cm thick.

The psammite-semipelite units form ledges that are interfoliated with thick units of less-resistant, fine- to medium-grained, pelitic to semipelitic quartz-muscovite and quartz-feldspar-muscovite schist.

Leucogranite dikes and stringers locally are interfoliated with the metasedimentary rocks of the Pinal schist.  They grade to fine-grained muscovite-quartz-feldspar or biotite-quartz-feldspar schist, becoming difficult to distinguish from semipelite and psammite with increased metamorphic differentiation and transposition.",0007.0001,Standard,"123;149;108",,6BCD18BD-1F1B-4D13-9B5B-DBE2A68BEC36,,
HPV.DescriptionOfMapUnits.54,TJm,TJm,"Hornblende meladiorite (early Tertiary, Cretaceous, or Jurassic)",,,"Meladiorite forms an intrusion, exposed in a 4-km2 area between Driscoll Mountain and Bear Creek, and several peripheral dikes and small intrusions.  The rock is composed of hornblende, fine-grained plagioclase, and locally biotite.  Hornblende typically is fine- to medium-grained and forms aggregates 5-10 mm long, although crystals up to 1 x 12 cm are locally present in dikes.  The mafic-mineral content is typically 60% or more, and some dikes range to hornblendite in composition (with >90% hornblende).  Thin sections from Paige Creek east of Driscoll Mountain contain 45-60% hornblende, 0-10% biotite, 30-40% plagioclase, 3-5% opaque minerals (ilmenite?), and trace apatite.

Near contacts with metasedimentary tectonites, including marble and Pinal schist, meladiorite typically is well-foliated and commonly grades toward the contact to fine-grained plagioclase-hornblende-biotite schist.  In one locality along Paige Creek east of Driscoll Mountain, meladiorite with chilled intrusive margins is exposed in intrusive contact with Pinal schist and interfoliated fine-grained granitoid tectonites.  Near the eastern edge of the Happy Valley 7.5' Quadrangle, meladiorite intrudes Paleozoic carbonate tectonites and so are younger than Paleozoic.  Tectonite deformation has affected rocks of this unit before middle Tertiary tectonic exhumation and cooling.  The meladiorite therefore was likely emplaced during middle Jurassic arc-related magmatism (~180-160 Ma), during late Jurassic basaltic magmatism related to extension in the Bisbee trough (160-150 Ma), or during regional Laramide magmatism (~75-55 Ma).",0006.0004,Standard,"138;035;168",,6BCD18BD-1F1B-4D13-9B5B-DBE2A68BEC36,,
HPV.DescriptionOfMapUnits.55,,,Johnny Lyon granodiorite and related units,,,,0006.0011,Heading,,,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.56,Xgj,Xgj,Johnny Lyon granodiorite (Paleoproterozoic),,(Paleoproterozoic),"Johnny Lyon granodiorite, consisting of medium- to coarse-grained biotite granite and granodiorite with up to 20% K-feldspar megacrysts that are up to 5 cm long, white to pale pinkish to pale gray, and generally blocky or tabular.  Prominent gray quartz is up to 10 mm, but mostly 2-8 mm.  Fresh biotite is preserved locally, but mafic minerals are typically altered; felted aggregates typically form 4-7% of the rock.  The rock is generally not foliated. A sample of this unitwas dated at 1651 +/- 17 Ma (one-sigma; U-Pb isotopic analysis by M. Pecha and G. Gehrels, University of Arizona; sample 3-16-10-2 collected by J. Spencer).",0006.0011.0001,Standard,"196;196;196",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.57,none,none,Tertiary sedimentary units,,,,0003,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.58,Jg,Jg,Glance Conglomerate of the Bisbee Group (Upper Jurassic),,,"Lithified conglomerate contianing subrounded carbonate and siliceous clasts, 1-10 cm diameter, in a calcareous matrix.
",0004.0004,Standard,"213;253;154",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.59,_b,_b,Bolsa Quartzite (Cambrian),,,"Generally medium- to fine-grained, thin to thick bedded, locally cross-bedded, quartz-rich sandstone.  As estimated in the field, the composition ranges from quartz arenite to subarkosic or sublithic arenite, with minor arkose in the lower part of the section.  Most beds are medium-grained and moderately sorted, with subrounded to subangular grains.  Fine-grained intervals appear more mature, moderately to possibly well-sorted, with subrounded grains.  Some beds contain dispersed coarse-sand and granule-sized grains of quartz and subordinate jasper and are poorly sorted.  Planar lamination is common throughout the unit; low-angle and trough cross-bedding are common in some intervals.  Amalgamated, tabular, medium bedsets weather to form slabs and blocky ledges.  Color ranges from white to tan to dark brown.  Black, magnetite(?)-rich laminations are present locally, especially at lower stratigraphic levels.  Near the western edge of the Happy Valley, the top 3-4 m of the Bolsa Quartzite is somewhat massive, resistant to erosion, and pale gray to pale whitish tan.  The top of the unit is placed at the base of the lowest overlying calcareous sandstone or siltstone bed.",0005.0013,Standard,"255;135;061",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.60,Tcym,Tcym,Megablock conglomerate (Pliocene),,,"Poorly consolidated boulder to megablock conglomerate that is exposed largely as lag of boulders on hilltops and ridge crests adjacent to the Martinez Ranch fault at the west edge of the Happy Valley 7.5' Quadrangle.  Boulders up to 3m consist largely of banded gneiss, foliated leucogranite, and heterogeneous pegmatitic leucogranite.  Near the Martinez Ranch fault, the nature of outcrop (bedrock vs. megablock conglomerate) is difficult to determine because blocks are large and surrounded by soil and vegetation.  Random vs. aligned nature of foliation and gneissic layering were used to determine bedrock vs. conglomerate  nature of outcrop.  Blocks appear to be as large as 20 m.  Location of contact between bedrock and megablock conglomerate is not well determined.",0003.0001,Standard,"240;213;014",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.61,Qy2,Qy2,Late Holocene alluvium,,,"Qy2 deposits consist of piedmont terrace deposits located primarily along the flanks of incised drainages, broad low-relief distal fan deposits onlapping onto Holocene river alluvium, and infrequently active tributary drainage deposits. These deposits consist of predominantly fine grained unconsolidated to weakly consolidated sediments although isolated sub-rounded to sub-angular cobbles and boulders may be present at the surface in small quantities. Where inset into older alluvium, Qy2 deposits are planar with remnant bar and swale microtopography. Distal fan Qy2 deposits are broad and sandy with numerous small braided channel systems. Rarely active Qy2 tributary drainages are generally of limited extent, relatively steep, and more densely vegetated than Qy3 tributary drainages. Soil development on Qy2 deposits is minor, characterized by incipient stage I calcium carbonate accumulation in the form of small filaments and medium brown (10 YR) surface coloration. Vegetation on Qy2 surfaces ranges from numerous small mesquite trees and grasses in distal fan environments to medium creosote, acacia, and cholla in tributaries and inset terraces. These surfaces are subject to inundation during moderate to extreme flow conditions when channel flow exceeds capacity or due to channel migration on low-relief portions of broad distal fan deposits. Planar Qy2 terraces are typically elevated from 30 cm to 1.5 m above active channels.",0002.0004,Standard,"255;255;120",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.62,Ksl,Ksl,Silty limestone of the Bisbee Group (Cretaceous),,,Silty limestone within sandstone and siltstone of the Bisbee Group.,0004.0003,Standard,"105;185;198",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.63,none,none,Tertiary to Proterozoic intrusive units,,,,0006,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.64,none,none,Paleozoic to Mesoproterozoic sedimentary units,,,,0005,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.65,none,none,Piedmont alluvium and surficial deposits,,,none,0002,Heading,"255;255;255",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.66,|Xpt,|Xpt,"Heterogeneous schist, micaceous quartzite, marble, calcsilicate (Paleozoic and Proterozoic protoliths)",,,"A heterogeneous assemblage of fine-grained quartzofeldspathic psammite, semipelitic schist, siliceous hornfels (some with recessive carbonate laminations), marble with siliceous laminations, and pelitic quartz-muscovite schist.  Thin layers of epidote calc-silicate and discontinuous units of dark-gray, fine-grained, quartz-biotite-feldspar schist are also present.  Some quartzofeldspathic layers interfoliated with the schist and psammite appear to have been derived from a leucogranitic protolith.  The semipelite and psammite contain quartz, feldspar, and muscovite, plus locally chlorite or biotite.  Abundant chlorite and epidote veinlets locally give the rock a green color.  This unit is interpreted as having been derived from Pinal schist interfoliated with tectonites of calcareous Paleozoic protoliths (e.g., Escabrosa, Horquilla, and Earp formations).",0008.0007,Standard,"168;130;000",,6BCD18BD-1F1B-4D13-9B5B-DBE2A68BEC36,,
HPV.DescriptionOfMapUnits.67,Qtc,Qtc,Quaternary hillslope talus and colluvium,,,"Unconsolidated to weakly consolidated, very poorly sorted angular rock debris deposited at the base of bedrock slopes.",0001.0002,Standard,"245;235;205",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.68,Tcu,Tcu,"Conglomerate, undivided (Oligocene to Miocene)",,,"Undivided conglomerate and related clastic sedimentary rocks equivalent to Fanglomerate (map unit Tcy), conglomerate of the San Manuel Formation (map unit Tsmm), and older conglomerate (map unit Tcg). In some areas, rocks of this unit are steeply tilted where well exposed in canyon bottoms, but are elsewhere mantled by younger units or by disaggregated and weathered conglomerate of map unit Tcg.  These units are undivided because of the difficulty in correlation without visible bedding.",0003.0005,Standard,"224;164;145",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.69,TXa,TXa,Aplite (Tertiary to Protorozoic),,,Aplite intruding Pinal Schist south of Eagle Peak.,0006.0006,Standard,"240;000;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.70,,,Oracle granite suite (Mesoproterozoic),,,,0006.0010,Heading,,,HPV.DataSources.11,,
